Gender	Singular	Plural	Sentence	Definition
MAS	Mantel	Mäntel		the coat
MAS	Parkplatz	Parkplätze		the parking place
MAS	Hafen	Häfen		the harbour
NEU	Flugticket	Flugtickets		the plane ticket
MAS	Fahrplan	Fahrpläne		the the (train/bus) schedule
MAS	Fahrkartenschalter	Fahrkartenschalter		the ticket counter
MAS	Stau	Staue		the traffic jam
FEM	Verspätung	Verspätungen		the delay
FEM	Ampel	Ampeln		the traffic light
MAS	Sitzplatz	Sitzplätze		the sitting place (seat)
FEM	Abfahrt	Anfahrten		the departure (of a train, bus, car person)
MAS	Abflug	Abflüge		the departure of an aeroplane
FEM	Landung	Landungen		the landing
MAS	Flugplan	Flugpläne		the flich schedule
FEM	Ankunft	Ankünfte		the arrival
FEM	Tankstelle	Tankstellen		the petrol station
FEM	Haltestelle	Haltestellen		the  (bus, tram) stop
MAS	Fahrgast	Fahrgäste		the passenger in a bus, train or plane
MAS	Passagier	Passagiere		the passenger (more commonly of a ship)
FEM	Passkontrolle	Passkontrollen		the passport control
NEU	Fenster	Fenster		the windown
FEM	Wand	Wand		the wall
MAS	Keller	Keller		the cellar
NEU	Dach	Dächer		the roof
FEM	Treppe	Treppen		the stairs
FEM	Wohnungstür	Wohnungstüren		the front door
NEU	Erdgeschoss	Erdgeschosse		the first floor
FEM	Etage	Etagen		the floor/storey of a building
MAS	Schornstein	Schornsteine		the chimney
MAS	Balkon	Balkone		the balcony
MAS	Spielplatz	Spielplätze		the play area
NEU	Dachfenster	Dachfenster		the skylight
FEM	Klingel	Klingel		the bell
FEM	Haustür	Haustüren		the front door (syn. Wohnungstür)
MAS	Fußweg	Fußwege		the footpath
FEM	Straße	Straßen		the street
MAS	Bewohner	Bewohner		the (male) resident
FEM	Grünanlage	Grünanlage		the green space
FEM	Bushaltestelle	Bushaltestellen		the bus stop
FEM	Blumenkasten	Blumenkästen		the flower box
MAS	Bürgersteig	Bürgersteige		the pavement
FEM	Wohngemeinschaft	Wohngemeinschaften		the shared residence
NEU	Wohnzimmer	Wohnzimmer		the living room
NEU	Schlafzimmer	Schlafzimmer		the bedroom
NEU	Bad	Bäder		the bathroom
NEU	Esszimmer	Esszimmer		the diningroom
FEM	Küche	Küchen		the kitchen
NEU	Überraschungsmenü			the suprise menu
NEU	Arbeitszimmer	Arbeitszimmer		the (home) office
MAS	Teppich	Teppiche		the carpet
MAS	Sessel	Sessel		the comfy chair (sofa for one person)
MAS	Hocker	Hocker		the stool
MAS	Keller	Keller		the cellar
MAS	Garten	Gärten		the garden
MAS	Kühlschrank	Kühlschränke		the refridgerator
MAS	Karton	Kartone		the box
FEM	Handtasche	Handtaschen		the handbag 
FEM	Kommode	Kommoden		the chest of drawers
FEM	Mikrowelle	Mikrowellen		the microwave
MAS	Fernseher	Fernseher		the television set
FEM	Fensterbank	Fensterbänke		the windowsill (letze Buchstabe ‚k‘)
NEU	Fensterbrett	Fensterbretter		the windowsill (letze Buchstabe ‚t‘)
FEM	Computermaus	Computermäuse		the computer mouse
MAS	Vogelkäfig	Vogelkäfige		the birdcage
MAS	Tennisschläger	Tennisschläger		the tennis racket
